pair_id,pair_label,variant,family,attack_family,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,200,16,64,0.195,0.195,C2,2.340788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,stale_replay,200,16,64,0.76,0.76,C2,2.340788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_prompt,200,16,64,0.76,0.76,C2,2.340788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,200,64,256,0.36,0.36,C2,2.416691
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,stale_replay,200,64,256,0.855,0.855,C2,2.416691
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,wrong_prompt,200,64,256,0.855,0.855,C2,2.416691
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,gaussian,200,64,256,0.995,0.995,C2,2.852113
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.852113
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.852113
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.866454
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.866454
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.866454
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,2.873817
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,2.873817
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,2.873817
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,200,16,64,0.105,0.105,C2,2.522954
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,stale_replay,200,16,64,0.655,0.655,C2,2.522954
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,wrong_prompt,200,16,64,0.655,0.655,C2,2.522954
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,200,64,256,0.36,0.36,C2,2.364435
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,stale_replay,200,64,256,0.855,0.855,C2,2.364435
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,wrong_prompt,200,64,256,0.855,0.855,C2,2.364435
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,200,64,256,0.995,0.995,C2,2.623055
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.623055
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.623055
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.650596
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.650596
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.650596
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,2.834456
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,2.834456
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,2.834456
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,200,16,64,0.095,0.095,C2,3.002535
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,stale_replay,200,16,64,0.645,0.645,C2,3.002535
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,wrong_prompt,200,16,64,0.645,0.645,C2,3.002535
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,gaussian,200,64,256,0.36,0.36,C2,2.640707
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,stale_replay,200,64,256,0.875,0.875,C2,2.640707
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,wrong_prompt,200,64,256,0.875,0.875,C2,2.640707
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,gaussian,200,64,256,1.0,1.0,C2,2.74343
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.74343
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.74343
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.803075
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.803075
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.803075
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,3.023225
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,3.023225
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,3.023225
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,gaussian,200,16,64,0.045,0.045,C2,2.901829
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,stale_replay,200,16,64,0.555,0.555,C2,2.901829
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,wrong_prompt,200,16,64,0.555,0.555,C2,2.901829
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,gaussian,200,64,256,0.275,0.275,C2,2.534775
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,stale_replay,200,64,256,0.795,0.795,C2,2.534775
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,wrong_prompt,200,64,256,0.795,0.795,C2,2.534775
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,gaussian,200,64,256,0.995,0.995,C2,2.775853
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.775853
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.775853
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.868455
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.868455
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.868455
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,3.015874
