variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,validator_storage_head_bytes,validator_storage_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_001,global_shared,99.99,1.5,16,64,192,125387,125387,2132,32,96,253124,253188,1.864041,1.725208,7.813166,0.0745,0.004625,3.668374,0,,,186
scalar16,scalar,honest_homo,eval_002,global_shared,99.99,1.5,16,64,192,133175,133175,2132,32,96,268700,268764,1.814834,1.705875,0.092292,0.06625,0.002667,3.589626,0,,,186
scalar16,scalar,honest_homo,eval_003,global_shared,99.99,1.5,16,64,192,117824,117824,2132,32,96,237998,238062,1.722167,1.680291,0.154,0.069042,0.003125,3.474625,0,,,186
scalar16,scalar,honest_homo,eval_004,global_shared,99.99,1.5,16,64,192,117850,117850,2132,32,96,238050,238114,1.613167,1.56325,0.085458,0.066584,0.002458,3.245459,0,,,186
scalar16,scalar,honest_homo,eval_005,global_shared,99.99,1.5,16,64,192,117819,117819,2132,32,96,237988,238052,1.722375,1.677125,0.092584,0.085792,0.002583,3.487875,0,,,186
scalar16,scalar,honest_homo,eval_006,global_shared,99.99,1.5,16,64,192,117847,117847,2132,32,96,238044,238108,1.711792,1.579042,0.114334,0.069166,0.002667,3.362667,0,,,186
scalar16,scalar,honest_homo,eval_007,global_shared,99.99,1.5,16,64,192,148372,148372,2132,32,96,299094,299158,1.64925,1.778166,0.349875,0.164291,0.00425,3.595957,0,,,186
scalar16,scalar,honest_homo,eval_008,global_shared,99.99,1.5,16,64,192,148442,148442,2132,32,96,299234,299298,1.8735,1.686917,0.116958,0.071125,0.002834,3.634376,0,,,186
scalar16,scalar,honest_homo,eval_009,global_shared,99.99,1.5,16,64,192,148502,148502,2132,32,96,299354,299418,1.734875,1.78275,0.109125,0.075291,0.002834,3.59575,0,,,186
scalar16,scalar,honest_homo,eval_010,global_shared,99.99,1.5,16,64,192,117752,117752,2132,32,96,237854,237918,1.718541,1.652625,0.089125,0.069167,0.0025,3.442833,0,,,186
scalar16,scalar,honest_homo,eval_011,global_shared,99.99,1.5,16,64,192,94634,94634,2132,32,96,191618,191682,1.532125,1.635541,0.102958,0.074459,0.00275,3.244875,0,,,186
scalar16,scalar,honest_homo,eval_012,global_shared,99.99,1.5,16,64,192,102368,102368,2132,32,96,207086,207150,1.67975,1.735958,0.106834,0.066458,0.002625,3.484791,0,,,186
scalar16,scalar,honest_homo,eval_013,global_shared,99.99,1.5,16,64,192,86927,86927,2132,32,96,176204,176268,1.637667,1.58025,0.095375,0.065666,0.002416,3.285999,0,,,186
scalar16,scalar,honest_homo,eval_014,global_shared,99.99,1.5,16,64,192,87044,87044,2132,32,96,176438,176502,1.675417,1.552375,0.115167,0.067917,0.002583,3.298292,0,,,186
scalar16,scalar,honest_homo,eval_015,global_shared,99.99,1.5,16,64,192,87024,87024,2132,32,96,176398,176462,2.072,1.477833,0.085958,0.066167,0.0025,3.6185,0,,,186
scalar16,scalar,honest_homo,eval_016,global_shared,99.99,1.5,16,64,192,87017,87017,2132,32,96,176384,176448,1.562125,1.51775,0.09275,0.07225,0.002542,3.154667,0,,,186
scalar16,scalar,honest_homo,eval_017,global_shared,99.99,1.5,16,64,192,117702,117702,2132,32,96,237754,237818,1.890125,1.714916,0.112709,0.06725,0.003083,3.675374,0,,,186
scalar16,scalar,honest_homo,eval_018,global_shared,99.99,1.5,16,64,192,117777,117777,2132,32,96,237904,237968,1.6525,1.593125,0.087542,0.077083,0.002708,3.325416,0,,,186
scalar16,scalar,honest_homo,eval_019,global_shared,99.99,1.5,16,64,192,117794,117794,2132,32,96,237938,238002,1.658917,1.6895,0.098375,0.065333,0.002583,3.416333,0,,,186
scalar16,scalar,honest_homo,eval_020,global_shared,99.99,1.5,16,64,192,87013,87013,2132,32,96,176376,176440,1.703,1.552333,0.097917,0.069208,0.002625,3.327166,0,,,186
scalar16,scalar,honest_homo,eval_021,global_shared,99.99,1.5,16,64,192,102278,102278,2132,32,96,206906,206970,1.575791,1.76075,0.095708,0.066375,0.002667,3.405583,0,,,186
scalar16,scalar,honest_homo,eval_022,global_shared,99.99,1.5,16,64,192,109959,109959,2132,32,96,222268,222332,1.586708,1.552875,0.090584,0.074333,0.00275,3.216666,0,,,186
scalar16,scalar,honest_homo,eval_023,global_shared,99.99,1.5,16,64,192,94688,94688,2132,32,96,191726,191790,1.50575,1.581792,0.092708,0.064917,0.002459,3.154918,0,,,186
scalar16,scalar,honest_homo,eval_024,global_shared,99.99,1.5,16,64,192,94655,94655,2132,32,96,191660,191724,1.634375,1.609334,0.111042,0.079541,0.002583,3.325833,0,,,186
scalar16,scalar,honest_homo,eval_025,global_shared,99.99,1.5,16,64,192,94608,94608,2132,32,96,191566,191630,1.541584,1.531542,0.08025,0.067375,0.002375,3.142876,0,,,186
scalar16,scalar,honest_homo,eval_026,global_shared,99.99,1.5,16,64,192,94641,94641,2132,32,96,191632,191696,1.523792,1.504958,0.088042,0.07,0.002583,3.101333,0,,,186
scalar16,scalar,honest_homo,eval_027,global_shared,99.99,1.5,16,64,192,125318,125318,2132,32,96,252986,253050,1.812416,1.575583,0.086459,0.064625,0.002458,3.455082,0,,,186
